sweep,config_id,cache_size,block_size,assoc,protocol
size,1,128k,64,4,msi
size,2,128k,64,4,mesi
size,3,128k,64,4,dragon
size,4,256k,64,4,msi
size,5,256k,64,4,mesi
size,6,256k,64,4,dragon
size,7,512k,64,4,msi
size,8,512k,64,4,mesi
size,9,512k,64,4,dragon
size,10,1024k,64,4,msi
size,11,1024k,64,4,mesi
size,12,1024k,64,4,dragon
size,13,2048k,64,4,msi
size,14,2048k,64,4,mesi
size,15,2048k,64,4,dragon
assoc,1,1024k,64,1,msi
assoc,2,1024k,64,1,mesi
assoc,3,1024k,64,1,dragon
assoc,4,1024k,64,2,msi
assoc,5,1024k,64,2,mesi
assoc,6,1024k,64,2,dragon
assoc,7,1024k,64,4,msi
assoc,8,1024k,64,4,mesi
assoc,9,1024k,64,4,dragon
assoc,10,1024k,64,8,msi
assoc,11,1024k,64,8,mesi
assoc,12,1024k,64,8,dragon
assoc,13,1024k,64,16384,msi
assoc,14,1024k,64,16384,mesi
assoc,15,1024k,64,16384,dragon
block,1,2048k,32,2,msi
block,2,2048k,32,2,mesi
block,3,2048k,32,2,dragon
block,4,2048k,64,2,msi
block,5,2048k,64,2,mesi
block,6,2048k,64,2,dragon
block,7,2048k,128,2,msi
block,8,2048k,128,2,mesi
block,9,2048k,128,2,dragon
block,10,2048k,256,2,msi
block,11,2048k,256,2,mesi
block,12,2048k,256,2,dragon
block,13,2048k,512,2,msi
block,14,2048k,512,2,mesi
block,15,2048k,512,2,dragon
